ShipmentID,ShipDate,Origin,Destination,Route,Distance_km,Weight_tons,Mode,Carrier,BaseCost,FuelCost,OtherCost
1199,2024-06-25,Ahmedabad,Delhi,Ahmedabad-Delhi,2307,20,Air,IndigoCargo,184560,83052,14755
1200,2024-03-26,Pune,Bangalore,Pune-Bangalore,1641,29,Rail,IndianRail,71383,17845,2325
1201,2024-09-26,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,2221,30,Road,VRLLogistics,133260,46641,3914
1202,2025-05-06,Hyderabad,Mumbai,Hyderabad-Mumbai,497,26,Air,DHL,51688,23259,1132
1203,2024-05-11,Ahmedabad,Bangalore,Ahmedabad-Bangalore,2311,14,Rail,VRLLogistics,48531,12132,2898
1204,2024-07-01,Chennai,Bangalore,Chennai-Bangalore,1113,19,Rail,IndianRail,31720,7930,735
1205,2024-10-31,Mumbai,Ahmedabad,Mumbai-Ahmedabad,847,8,Air,IndianRail,27104,12196,1953
1206,2024-03-02,Chennai,Kolkata,Chennai-Kolkata,677,16,Air,DHL,43328,19497,1754
1207,2025-02-11,Mumbai,Chennai,Mumbai-Chennai,518,19,Road,IndigoCargo,19684,6889,1304
1208,2024-06-07,Hyderabad,Mumbai,Hyderabad-Mumbai,727,16,Rail,SpiceJetCargo,17448,4362,1247
1209,2024-11-20,Chennai,Hyderabad,Chennai-Hyderabad,1597,26,Rail,IndigoCargo,62283,15570,4679
1210,2025-04-27,Pune,Delhi,Pune-Delhi,2151,5,Air,BlueDart,43020,19359,3042
1211,2025-01-28,Kolkata,Chennai,Kolkata-Chennai,1218,14,Air,IndianRail,68208,30693,4777
1212,2025-07-13,Chennai,Ahmedabad,Chennai-Ahmedabad,2214,19,Rail,IndigoCargo,63099,15774,3620
1213,2024-09-08,Bangalore,Delhi,Bangalore-Delhi,828,5,Road,DHL,8280,2898,537
1214,2024-06-12,Ahmedabad,Pune,Ahmedabad-Pune,483,15,Road,DHL,14490,5071,851
1215,2024-03-02,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,1025,6,Air,IndigoCargo,24600,11070,602
1216,2024-05-28,Mumbai,Ahmedabad,Mumbai-Ahmedabad,1392,30,Road,IndianRail,83520,29231,1700
1217,2024-03-29,Hyderabad,Delhi,Hyderabad-Delhi,487,9,Air,IndigoCargo,17532,7889,755
1218,2024-10-19,Kolkata,Bangalore,Kolkata-Bangalore,2113,18,Road,SpiceJetCargo,76068,26623,4087
1219,2024-12-13,Kolkata,Ahmedabad,Kolkata-Ahmedabad,1064,12,Air,SpiceJetCargo,51072,22982,2912
1220,2024-05-10,Chennai,Pune,Chennai-Pune,1100,28,Air,VRLLogistics,123200,55440,9343
1221,2024-01-01,Pune,Delhi,Pune-Delhi,1611,17,Road,DHL,54774,19170,1232
1222,2025-06-19,Hyderabad,Kolkata,Hyderabad-Kolkata,357,18,Road,IndianRail,12852,4498,453
1223,2024-12-07,Ahmedabad,Bangalore,Ahmedabad-Bangalore,1880,12,Air,BlueDart,90240,40608,3795
1224,2024-03-25,Bangalore,Delhi,Bangalore-Delhi,1522,27,Air,VRLLogistics,164376,73969,6346
1225,2024-04-25,Bangalore,Pune,Bangalore-Pune,2469,23,Rail,IndigoCargo,85180,21295,5133
1226,2024-12-25,Kolkata,Delhi,Kolkata-Delhi,1719,27,Road,IndigoCargo,92826,32489,4236
1227,2025-05-28,Mumbai,Chennai,Mumbai-Chennai,1365,28,Road,BlueDart,76440,26754,3197
1228,2025-05-13,Delhi,Bangalore,Delhi-Bangalore,561,25,Air,IndigoCargo,56100,25245,3933
1229,2025-07-18,Chennai,Pune,Chennai-Pune,2220,11,Air,VRLLogistics,97680,43956,6316
1230,2025-04-16,Pune,Mumbai,Pune-Mumbai,2333,27,Rail,VRLLogistics,94486,23621,3842
1231,2024-03-29,Delhi,Ahmedabad,Delhi-Ahmedabad,2256,26,Rail,SpiceJetCargo,87984,21996,2364
1232,2024-04-23,Hyderabad,Pune,Hyderabad-Pune,798,9,Road,SpiceJetCargo,14364,5027,868
1233,2025-04-28,Chennai,Ahmedabad,Chennai-Ahmedabad,974,18,Road,VRLLogistics,35064,12272,1685
1234,2025-04-02,Bangalore,Hyderabad,Bangalore-Hyderabad,2002,14,Air,IndianRail,112112,50450,8081
1235,2024-02-11,Bangalore,Ahmedabad,Bangalore-Ahmedabad,1761,19,Air,SpiceJetCargo,133836,60226,5795
1236,2025-05-31,Mumbai,Delhi,Mumbai-Delhi,1900,18,Air,DHL,136800,61560,9183
1237,2025-06-26,Hyderabad,Chennai,Hyderabad-Chennai,398,13,Road,IndianRail,10348,3621,277
1238,2024-03-28,Ahmedabad,Delhi,Ahmedabad-Delhi,1951,9,Rail,BlueDart,26338,6584,2038
1239,2025-07-15,Chennai,Delhi,Chennai-Delhi,1285,17,Air,IndianRail,87380,39321,4889
1240,2024-04-30,Chennai,Mumbai,Chennai-Mumbai,1519,18,Air,SpiceJetCargo,109368,49215,3755
1241,2024-03-09,Chennai,Hyderabad,Chennai-Hyderabad,851,20,Air,SpiceJetCargo,68080,30636,2640
1242,2025-04-02,Mumbai,Delhi,Mumbai-Delhi,883,15,Air,DHL,52980,23841,2567
1243,2024-07-02,Delhi,Chennai,Delhi-Chennai,2400,23,Rail,SpiceJetCargo,82800,20700,3578
1244,2024-05-07,Hyderabad,Delhi,Hyderabad-Delhi,308,16,Air,SpiceJetCargo,19712,8870,943
1245,2024-11-27,Hyderabad,Mumbai,Hyderabad-Mumbai,919,28,Road,BlueDart,51464,18012,1495
1246,2025-03-09,Chennai,Hyderabad,Chennai-Hyderabad,2026,16,Road,IndianRail,64832,22691,1350
1247,2024-06-02,Pune,Mumbai,Pune-Mumbai,1623,23,Rail,BlueDart,55993,13998,3759
1248,2025-06-04,Bangalore,Pune,Bangalore-Pune,1566,29,Road,IndigoCargo,90828,31789,6050
1249,2025-02-13,Pune,Hyderabad,Pune-Hyderabad,1308,16,Road,VRLLogistics,41856,14649,1664
1250,2024-03-16,Hyderabad,Kolkata,Hyderabad-Kolkata,2068,10,Road,VRLLogistics,41360,14475,3054
1251,2025-04-15,Mumbai,Hyderabad,Mumbai-Hyderabad,2116,11,Road,IndigoCargo,46552,16293,1356
1252,2024-11-01,Hyderabad,Mumbai,Hyderabad-Mumbai,791,24,Road,IndianRail,37968,13288,969
1253,2024-08-08,Kolkata,Hyderabad,Kolkata-Hyderabad,715,7,Rail,VRLLogistics,7507,1876,202
1254,2024-08-06,Ahmedabad,Kolkata,Ahmedabad-Kolkata,1100,15,Road,SpiceJetCargo,33000,11550,1869
1255,2024-08-12,Bangalore,Kolkata,Bangalore-Kolkata,2261,9,Rail,BlueDart,30523,7630,1810
1256,2024-04-17,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1484,17,Road,IndianRail,50456,17659,2799
1257,2024-11-25,Pune,Mumbai,Pune-Mumbai,701,6,Road,DHL,8412,2944,320
1258,2025-04-21,Chennai,Pune,Chennai-Pune,1289,16,Rail,IndianRail,30936,7734,1015
1259,2024-01-11,Mumbai,Delhi,Mumbai-Delhi,1493,13,Air,BlueDart,77636,34936,3462
1260,2025-05-11,Mumbai,Bangalore,Mumbai-Bangalore,1662,19,Road,BlueDart,63156,22104,4052
1261,2024-10-09,Mumbai,Kolkata,Mumbai-Kolkata,2319,28,Road,VRLLogistics,129864,45452,4307
1262,2025-04-29,Kolkata,Bangalore,Kolkata-Bangalore,2209,9,Rail,IndigoCargo,29821,7455,1595
1263,2025-04-26,Chennai,Ahmedabad,Chennai-Ahmedabad,1556,29,Rail,SpiceJetCargo,67686,16921,1747
1264,2025-07-29,Delhi,Chennai,Delhi-Chennai,455,10,Air,VRLLogistics,18200,8190,1317
1265,2024-07-20,Kolkata,Mumbai,Kolkata-Mumbai,822,7,Air,IndianRail,23016,10357,818
1266,2024-05-17,Hyderabad,Pune,Hyderabad-Pune,1278,23,Air,VRLLogistics,117576,52909,4049
1267,2025-01-01,Pune,Kolkata,Pune-Kolkata,998,26,Air,BlueDart,103792,46706,2709
1268,2024-11-13,Bangalore,Chennai,Bangalore-Chennai,1134,15,Rail,IndigoCargo,25515,6378,1484
1269,2024-06-24,Ahmedabad,Pune,Ahmedabad-Pune,606,23,Rail,IndianRail,20907,5226,831
1270,2024-11-25,Ahmedabad,Mumbai,Ahmedabad-Mumbai,658,17,Road,IndianRail,22372,7830,1609
1271,2024-07-25,Hyderabad,Delhi,Hyderabad-Delhi,2149,7,Road,BlueDart,30086,10530,1475
1272,2024-04-16,Hyderabad,Kolkata,Hyderabad-Kolkata,646,26,Air,DHL,67184,30232,3999
1273,2024-08-23,Pune,Bangalore,Pune-Bangalore,593,10,Rail,IndianRail,8895,2223,435
1274,2024-02-01,Chennai,Kolkata,Chennai-Kolkata,955,12,Rail,IndigoCargo,17190,4297,1115
1275,2024-04-03,Delhi,Pune,Delhi-Pune,1884,20,Air,DHL,150720,67824,9259
1276,2024-12-06,Pune,Delhi,Pune-Delhi,738,29,Rail,BlueDart,32103,8025,2508
1277,2024-06-13,Pune,Hyderabad,Pune-Hyderabad,350,28,Road,IndigoCargo,19600,6860,1380
1278,2024-08-05,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,2073,17,Air,VRLLogistics,140964,63433,9573
1279,2024-03-26,Kolkata,Bangalore,Kolkata-Bangalore,987,22,Air,SpiceJetCargo,86856,39085,6446
1280,2024-05-23,Bangalore,Pune,Bangalore-Pune,742,8,Road,IndianRail,11872,4155,721
1281,2024-05-08,Delhi,Pune,Delhi-Pune,2367,22,Air,IndianRail,208296,93733,4470
1282,2025-04-23,Chennai,Mumbai,Chennai-Mumbai,1928,6,Road,IndigoCargo,23136,8097,473
1283,2024-06-08,Mumbai,Hyderabad,Mumbai-Hyderabad,2400,16,Air,VRLLogistics,153600,69120,10423
1284,2024-11-04,Chennai,Hyderabad,Chennai-Hyderabad,915,25,Road,IndianRail,45750,16012,3273
1285,2024-07-10,Ahmedabad,Kolkata,Ahmedabad-Kolkata,1443,5,Road,BlueDart,14430,5050,660
1286,2024-11-13,Ahmedabad,Delhi,Ahmedabad-Delhi,2121,21,Air,IndigoCargo,178164,80173,11690
1287,2024-09-16,Kolkata,Ahmedabad,Kolkata-Ahmedabad,2194,17,Air,DHL,149192,67136,3302
1288,2025-03-15,Chennai,Bangalore,Chennai-Bangalore,1819,13,Rail,DHL,35470,8867,2080
1289,2025-02-28,Mumbai,Hyderabad,Mumbai-Hyderabad,1426,21,Air,VRLLogistics,119784,53902,5108
1290,2024-04-21,Bangalore,Delhi,Bangalore-Delhi,1723,20,Road,DHL,68920,24122,4380
1291,2025-06-11,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,1556,27,Road,VRLLogistics,84024,29408,5959
1292,2025-05-23,Hyderabad,Bangalore,Hyderabad-Bangalore,2340,6,Road,DHL,28080,9828,2197
1293,2025-07-29,Pune,Kolkata,Pune-Kolkata,647,12,Road,DHL,15528,5434,473
1294,2025-01-05,Mumbai,Pune,Mumbai-Pune,1995,24,Road,SpiceJetCargo,95760,33516,6272
1295,2024-03-17,Mumbai,Chennai,Mumbai-Chennai,754,25,Air,BlueDart,75400,33930,4140
1296,2025-01-24,Chennai,Hyderabad,Chennai-Hyderabad,514,8,Rail,DHL,6168,1542,411
1297,2025-06-07,Mumbai,Kolkata,Mumbai-Kolkata,1145,12,Rail,IndianRail,20610,5152,1121
1298,2024-02-10,Kolkata,Ahmedabad,Kolkata-Ahmedabad,416,20,Air,IndigoCargo,33280,14976,2555
1299,2024-05-12,Pune,Mumbai,Pune-Mumbai,830,8,Rail,IndigoCargo,9960,2490,257
1300,2024-01-16,Bangalore,Ahmedabad,Bangalore-Ahmedabad,624,18,Road,BlueDart,22464,7862,1354
1301,2024-08-11,Delhi,Chennai,Delhi-Chennai,935,18,Rail,BlueDart,25245,6311,1211
1302,2025-03-21,Ahmedabad,Delhi,Ahmedabad-Delhi,1255,6,Road,SpiceJetCargo,15060,5271,340
1303,2025-07-25,Kolkata,Hyderabad,Kolkata-Hyderabad,2084,10,Rail,VRLLogistics,31260,7815,1442
1304,2025-06-10,Bangalore,Kolkata,Bangalore-Kolkata,2268,9,Road,SpiceJetCargo,40824,14288,3146
1305,2025-03-02,Ahmedabad,Delhi,Ahmedabad-Delhi,1761,28,Rail,IndigoCargo,73962,18490,3962
1306,2024-07-28,Pune,Delhi,Pune-Delhi,597,20,Rail,VRLLogistics,17910,4477,491
1307,2024-10-29,Pune,Mumbai,Pune-Mumbai,1083,16,Rail,IndigoCargo,25992,6498,1492
1308,2024-03-11,Bangalore,Ahmedabad,Bangalore-Ahmedabad,1707,15,Rail,IndianRail,38407,9601,2169
1309,2025-06-19,Hyderabad,Kolkata,Hyderabad-Kolkata,1630,24,Road,IndigoCargo,78240,27384,2494
1310,2024-04-23,Hyderabad,Mumbai,Hyderabad-Mumbai,903,10,Rail,IndianRail,13545,3386,1036
1311,2024-10-14,Delhi,Bangalore,Delhi-Bangalore,1287,7,Rail,IndigoCargo,13513,3378,518
1312,2024-10-25,Pune,Hyderabad,Pune-Hyderabad,1188,23,Road,SpiceJetCargo,54648,19126,1913
1313,2024-08-02,Kolkata,Delhi,Kolkata-Delhi,2222,14,Road,DHL,62216,21775,4728
1314,2024-12-26,Delhi,Bangalore,Delhi-Bangalore,1805,21,Road,IndigoCargo,75810,26533,4002
1315,2025-02-19,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,973,18,Air,VRLLogistics,70056,31525,4443
1316,2024-04-15,Kolkata,Bangalore,Kolkata-Bangalore,2204,13,Rail,SpiceJetCargo,42978,10744,3148
1317,2024-09-28,Bangalore,Ahmedabad,Bangalore-Ahmedabad,1272,13,Rail,VRLLogistics,24804,6201,1514
1318,2024-09-07,Delhi,Hyderabad,Delhi-Hyderabad,1517,25,Rail,IndianRail,56887,14221,2593
1319,2024-01-15,Delhi,Bangalore,Delhi-Bangalore,1867,11,Air,VRLLogistics,82148,36966,4706
1320,2024-02-24,Kolkata,Delhi,Kolkata-Delhi,1928,15,Rail,DHL,43380,10845,2146
1321,2024-12-24,Delhi,Pune,Delhi-Pune,435,8,Road,VRLLogistics,6960,2436,145
1322,2025-03-29,Kolkata,Delhi,Kolkata-Delhi,2135,13,Rail,VRLLogistics,41632,10408,2928
1323,2025-04-20,Pune,Kolkata,Pune-Kolkata,1773,30,Road,BlueDart,106380,37233,2779
1324,2024-07-24,Chennai,Bangalore,Chennai-Bangalore,1505,5,Road,DHL,15050,5267,363
1325,2024-01-23,Ahmedabad,Mumbai,Ahmedabad-Mumbai,1350,23,Rail,VRLLogistics,46575,11643,1928
1326,2024-01-13,Chennai,Ahmedabad,Chennai-Ahmedabad,1878,20,Rail,SpiceJetCargo,56340,14085,1140
1327,2024-03-18,Mumbai,Delhi,Mumbai-Delhi,521,13,Rail,IndianRail,10159,2539,485
1328,2025-05-20,Chennai,Bangalore,Chennai-Bangalore,1918,7,Road,DHL,26852,9398,710
1329,2024-04-04,Bangalore,Hyderabad,Bangalore-Hyderabad,1958,23,Road,DHL,90068,31523,3374
1330,2024-09-14,Chennai,Ahmedabad,Chennai-Ahmedabad,2195,12,Air,VRLLogistics,105360,47412,7045
1331,2024-12-23,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1815,6,Rail,IndigoCargo,16335,4083,767
1332,2024-01-12,Pune,Hyderabad,Pune-Hyderabad,933,16,Road,IndianRail,29856,10449,2346
1333,2024-04-25,Pune,Delhi,Pune-Delhi,1661,10,Rail,IndigoCargo,24915,6228,1134
1334,2024-07-12,Ahmedabad,Kolkata,Ahmedabad-Kolkata,785,17,Road,IndigoCargo,26690,9341,2090
1335,2024-05-28,Mumbai,Hyderabad,Mumbai-Hyderabad,1460,6,Road,IndianRail,17520,6132,1304
1336,2024-07-12,Pune,Chennai,Pune-Chennai,1329,12,Rail,SpiceJetCargo,23922,5980,1479
1337,2025-02-13,Hyderabad,Bangalore,Hyderabad-Bangalore,1047,25,Air,SpiceJetCargo,104700,47115,4738
1338,2024-12-02,Mumbai,Bangalore,Mumbai-Bangalore,1964,18,Road,BlueDart,70704,24746,5223
1339,2025-01-29,Chennai,Mumbai,Chennai-Mumbai,1309,13,Road,IndigoCargo,34034,11911,1844
1340,2024-02-08,Chennai,Delhi,Chennai-Delhi,2318,28,Road,IndianRail,129808,45432,3056
1341,2024-09-16,Chennai,Ahmedabad,Chennai-Ahmedabad,2308,10,Road,VRLLogistics,46160,16155,2484
1342,2024-01-06,Chennai,Bangalore,Chennai-Bangalore,1033,16,Rail,BlueDart,24792,6198,739
1343,2025-07-28,Delhi,Ahmedabad,Delhi-Ahmedabad,1341,8,Rail,DHL,16092,4023,1262
1344,2024-06-30,Hyderabad,Bangalore,Hyderabad-Bangalore,1036,23,Rail,VRLLogistics,35742,8935,1361
1345,2024-01-28,Mumbai,Delhi,Mumbai-Delhi,380,29,Air,VRLLogistics,44080,19836,1666
1346,2024-02-14,Pune,Kolkata,Pune-Kolkata,2433,30,Road,IndianRail,145980,51093,11104
1347,2024-03-29,Mumbai,Bangalore,Mumbai-Bangalore,1696,24,Road,SpiceJetCargo,81408,28492,4232
1348,2024-08-18,Delhi,Pune,Delhi-Pune,928,10,Rail,IndianRail,13920,3480,688
1349,2024-08-07,Mumbai,Delhi,Mumbai-Delhi,857,10,Road,SpiceJetCargo,17140,5999,347
1350,2024-01-24,Bangalore,Delhi,Bangalore-Delhi,1114,24,Rail,DHL,40104,10026,1740
1351,2025-05-21,Kolkata,Bangalore,Kolkata-Bangalore,2364,17,Road,DHL,80376,28131,4890
1352,2025-06-25,Bangalore,Pune,Bangalore-Pune,2032,9,Air,IndigoCargo,73152,32918,4056
1353,2025-04-11,Pune,Ahmedabad,Pune-Ahmedabad,792,16,Rail,IndigoCargo,19008,4752,678
1354,2024-04-21,Delhi,Kolkata,Delhi-Kolkata,1868,5,Rail,VRLLogistics,14010,3502,845
1355,2024-11-21,Delhi,Kolkata,Delhi-Kolkata,2369,22,Rail,BlueDart,78177,19544,2652
1356,2024-01-02,Mumbai,Bangalore,Mumbai-Bangalore,2246,18,Rail,BlueDart,60642,15160,1988
1357,2024-07-23,Hyderabad,Delhi,Hyderabad-Delhi,2014,11,Air,DHL,88616,39877,5491
1358,2025-05-06,Pune,Chennai,Pune-Chennai,2473,10,Road,SpiceJetCargo,49460,17311,3161
1359,2025-06-19,Delhi,Pune,Delhi-Pune,1362,25,Road,SpiceJetCargo,68100,23835,4009
1360,2024-03-15,Chennai,Mumbai,Chennai-Mumbai,380,18,Rail,SpiceJetCargo,10260,2565,814
1361,2024-03-14,Mumbai,Kolkata,Mumbai-Kolkata,2008,9,Air,BlueDart,72288,32529,2402
1362,2024-12-19,Kolkata,Ahmedabad,Kolkata-Ahmedabad,2463,18,Road,VRLLogistics,88668,31033,3298
1363,2025-07-15,Mumbai,Delhi,Mumbai-Delhi,1261,27,Road,BlueDart,68094,23832,5333
1364,2024-09-21,Bangalore,Chennai,Bangalore-Chennai,1069,27,Air,SpiceJetCargo,115452,51953,2928
1365,2025-05-26,Kolkata,Chennai,Kolkata-Chennai,1621,14,Road,IndianRail,45388,15885,3015
1366,2025-03-16,Delhi,Bangalore,Delhi-Bangalore,1597,26,Air,BlueDart,166088,74739,11349
1367,2025-03-11,Ahmedabad,Chennai,Ahmedabad-Chennai,2464,29,Road,SpiceJetCargo,142912,50019,6668
1368,2025-04-10,Bangalore,Ahmedabad,Bangalore-Ahmedabad,364,9,Road,VRLLogistics,6552,2293,497
1369,2024-06-05,Bangalore,Mumbai,Bangalore-Mumbai,1192,18,Rail,BlueDart,32184,8046,1342
1370,2025-05-09,Pune,Hyderabad,Pune-Hyderabad,360,12,Road,IndianRail,8640,3024,563
1371,2025-04-30,Hyderabad,Chennai,Hyderabad-Chennai,1966,25,Road,IndianRail,98300,34405,6338
1372,2024-11-05,Ahmedabad,Kolkata,Ahmedabad-Kolkata,1498,30,Rail,BlueDart,67410,16852,3379
1373,2025-02-14,Mumbai,Kolkata,Mumbai-Kolkata,1934,20,Road,IndigoCargo,77360,27076,2724
1374,2024-11-26,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,2221,24,Air,VRLLogistics,213216,95947,15416
1375,2024-06-12,Delhi,Hyderabad,Delhi-Hyderabad,1070,23,Rail,IndigoCargo,36915,9228,2832
1376,2024-05-09,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,1620,18,Air,DHL,116640,52488,6930
1377,2025-07-12,Kolkata,Ahmedabad,Kolkata-Ahmedabad,1922,14,Rail,SpiceJetCargo,40362,10090,1763
1378,2025-03-01,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,632,11,Air,VRLLogistics,27808,12513,1618
1379,2025-01-07,Bangalore,Hyderabad,Bangalore-Hyderabad,1284,12,Road,BlueDart,30816,10785,2011
1380,2024-10-14,Chennai,Bangalore,Chennai-Bangalore,2050,10,Air,VRLLogistics,82000,36900,2417
1381,2024-04-09,Mumbai,Pune,Mumbai-Pune,1550,19,Road,SpiceJetCargo,58900,20615,1742
1382,2024-02-14,Bangalore,Hyderabad,Bangalore-Hyderabad,1538,13,Air,SpiceJetCargo,79976,35989,4509
1383,2024-02-27,Bangalore,Hyderabad,Bangalore-Hyderabad,1553,20,Road,DHL,62120,21742,4279
1384,2025-03-16,Chennai,Delhi,Chennai-Delhi,878,29,Air,BlueDart,101848,45831,6039
1385,2025-03-18,Bangalore,Delhi,Bangalore-Delhi,855,26,Air,BlueDart,88920,40014,3119
1386,2024-11-28,Mumbai,Bangalore,Mumbai-Bangalore,2358,6,Rail,IndigoCargo,21222,5305,1085
1387,2024-04-20,Mumbai,Kolkata,Mumbai-Kolkata,1811,5,Rail,IndigoCargo,13582,3395,584
1388,2024-07-22,Hyderabad,Chennai,Hyderabad-Chennai,1603,12,Rail,DHL,28854,7213,1935
1389,2024-05-26,Bangalore,Mumbai,Bangalore-Mumbai,1596,11,Air,VRLLogistics,70224,31600,2453
1390,2024-10-15,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1245,21,Road,VRLLogistics,52290,18301,1905
1391,2024-12-11,Ahmedabad,Mumbai,Ahmedabad-Mumbai,1400,24,Air,IndianRail,134400,60480,9896
1392,2025-01-19,Ahmedabad,Chennai,Ahmedabad-Chennai,2051,13,Air,VRLLogistics,106652,47993,6012
1393,2024-01-12,Pune,Delhi,Pune-Delhi,551,5,Air,IndigoCargo,11020,4959,862
1394,2025-01-10,Bangalore,Delhi,Bangalore-Delhi,842,9,Air,VRLLogistics,30312,13640,1637
1395,2025-02-19,Chennai,Delhi,Chennai-Delhi,2018,25,Road,SpiceJetCargo,100900,35315,2312
1396,2025-07-24,Bangalore,Hyderabad,Bangalore-Hyderabad,652,8,Rail,IndianRail,7824,1956,439
1397,2025-05-07,Chennai,Hyderabad,Chennai-Hyderabad,471,19,Air,DHL,35796,16108,1810
1398,2024-12-05,Mumbai,Ahmedabad,Mumbai-Ahmedabad,897,8,Air,VRLLogistics,28704,12916,1430
1399,2024-08-17,Delhi,Bangalore,Delhi-Bangalore,1830,15,Rail,IndianRail,41175,10293,3227
1400,2024-02-08,Ahmedabad,Kolkata,Ahmedabad-Kolkata,758,15,Rail,VRLLogistics,17055,4263,1248
1401,2025-02-18,Hyderabad,Chennai,Hyderabad-Chennai,857,10,Air,SpiceJetCargo,34280,15426,2158
1402,2024-12-14,Ahmedabad,Kolkata,Ahmedabad-Kolkata,883,11,Rail,VRLLogistics,14569,3642,449
1403,2024-05-02,Mumbai,Kolkata,Mumbai-Kolkata,853,27,Air,DHL,92124,41455,2171
1404,2025-02-04,Kolkata,Mumbai,Kolkata-Mumbai,444,12,Road,IndianRail,10656,3729,691
1405,2024-02-01,Ahmedabad,Kolkata,Ahmedabad-Kolkata,366,19,Road,IndianRail,13908,4867,601
1406,2024-12-31,Bangalore,Delhi,Bangalore-Delhi,1497,9,Rail,VRLLogistics,20209,5052,655
1407,2024-11-13,Kolkata,Ahmedabad,Kolkata-Ahmedabad,1608,18,Rail,DHL,43416,10854,1444
1408,2025-04-21,Hyderabad,Bangalore,Hyderabad-Bangalore,461,27,Air,SpiceJetCargo,49788,22404,3342
1409,2025-07-21,Kolkata,Ahmedabad,Kolkata-Ahmedabad,1237,21,Rail,VRLLogistics,38965,9741,2381
1410,2025-05-24,Delhi,Pune,Delhi-Pune,2077,28,Rail,DHL,87234,21808,2378
1411,2024-08-01,Delhi,Mumbai,Delhi-Mumbai,670,9,Rail,SpiceJetCargo,9045,2261,260
1412,2024-04-14,Bangalore,Kolkata,Bangalore-Kolkata,890,5,Air,IndigoCargo,17800,8010,884
1413,2025-02-28,Chennai,Delhi,Chennai-Delhi,2081,22,Rail,DHL,68673,17168,1482
1414,2024-07-26,Mumbai,Chennai,Mumbai-Chennai,2368,30,Rail,VRLLogistics,106560,26640,8272
1415,2024-11-23,Hyderabad,Kolkata,Hyderabad-Kolkata,2437,22,Rail,IndianRail,80421,20105,3956
1416,2024-01-21,Hyderabad,Bangalore,Hyderabad-Bangalore,561,6,Road,DHL,6732,2356,458
1417,2024-01-14,Mumbai,Pune,Mumbai-Pune,592,22,Rail,VRLLogistics,19536,4884,937
1418,2024-11-09,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,591,13,Road,DHL,15366,5378,842
1419,2024-07-13,Pune,Chennai,Pune-Chennai,664,5,Rail,IndigoCargo,4980,1245,147
1420,2025-02-02,Hyderabad,Delhi,Hyderabad-Delhi,1979,11,Air,BlueDart,87076,39184,5929
1421,2024-07-18,Chennai,Ahmedabad,Chennai-Ahmedabad,431,22,Rail,IndianRail,14223,3555,539
1422,2024-10-27,Chennai,Bangalore,Chennai-Bangalore,2065,7,Road,IndianRail,28910,10118,864
1423,2025-05-19,Delhi,Mumbai,Delhi-Mumbai,1111,9,Rail,IndianRail,14998,3749,550
1424,2024-03-18,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,607,26,Road,SpiceJetCargo,31564,11047,1765
1425,2025-02-09,Hyderabad,Kolkata,Hyderabad-Kolkata,1947,13,Air,IndianRail,101244,45559,5913
1426,2025-07-05,Delhi,Kolkata,Delhi-Kolkata,1142,23,Road,BlueDart,52532,18386,3222
1427,2024-04-17,Chennai,Bangalore,Chennai-Bangalore,1262,7,Air,BlueDart,35336,15901,2163
1428,2025-07-18,Pune,Hyderabad,Pune-Hyderabad,2406,7,Rail,VRLLogistics,25263,6315,1891
1429,2024-04-29,Pune,Ahmedabad,Pune-Ahmedabad,1210,20,Road,DHL,48400,16940,2427
1430,2024-11-03,Bangalore,Mumbai,Bangalore-Mumbai,804,10,Road,IndianRail,16080,5628,540
1431,2024-08-23,Pune,Hyderabad,Pune-Hyderabad,1584,12,Road,IndianRail,38016,13305,2056
1432,2024-07-18,Delhi,Hyderabad,Delhi-Hyderabad,1277,23,Air,DHL,117484,52867,5412
1433,2024-02-19,Bangalore,Kolkata,Bangalore-Kolkata,1423,30,Road,BlueDart,85380,29882,5340
1434,2025-01-01,Kolkata,Chennai,Kolkata-Chennai,478,5,Rail,VRLLogistics,3585,896,169
1435,2025-03-23,Delhi,Chennai,Delhi-Chennai,431,24,Air,SpiceJetCargo,41376,18619,2286
1436,2024-11-09,Mumbai,Kolkata,Mumbai-Kolkata,2121,7,Rail,VRLLogistics,22270,5567,1384
1437,2024-09-06,Delhi,Mumbai,Delhi-Mumbai,1813,18,Rail,SpiceJetCargo,48951,12237,2423
1438,2025-01-27,Mumbai,Delhi,Mumbai-Delhi,718,5,Rail,BlueDart,5385,1346,384
1439,2024-04-04,Kolkata,Pune,Kolkata-Pune,491,28,Road,IndigoCargo,27496,9623,1928
1440,2024-06-28,Hyderabad,Mumbai,Hyderabad-Mumbai,1016,5,Rail,IndigoCargo,7620,1905,432
